Gene,Sample,IP2IN
LOC4812415,Hm_H4K20me3,0.741354
LOC4812415,Tm_H4K20me3,0.608585
LOC4812415,Hm_H4K16AC,3.80121
LOC4812415,Tm_H3K9me2,0.429693
LOC4812415,Hm_H3K9me2,0.813787
LOC4815376,Tm_H4K20me3,1.15365
LOC4815376,Hm_H4K16AC,1.60999
LOC4815376,Hm_H4K20me3,0.729284
LOC4815376,Tm_H4K16AC,1.04641
LOC4815376,Hm_H3K9me2,0.894561
LOC4815376,Tm_H3K9me2,1.15798
LOC4813348,Hm_H3K9me2,0.70848
LOC4813348,Tm_H4K20me3,1.04335
LOC4813348,Tm_H4K16AC,2.89517
LOC4813348,Tm_H3K9me2,1.04705
LOC4813348,Hm_H4K16AC,1.6062
LOC4813348,Hm_H4K20me3,0.940683
LOC6902998,Tm_H3K9me2,1.13959
LOC6902998,Hm_H3K9me2,0.945121
LOC6902998,Hm_H4K20me3,0.860117
LOC6902998,Hm_H4K16AC,0.635659
LOC6902998,Tm_H4K16AC,0.864686
LOC6902998,Tm_H4K20me3,0.683048
LOC4812206,Hm_H4K20me3,0.714497
LOC4812206,Tm_H4K20me3,0.665899
LOC4812206,Tm_H3K9me2,0.878553
LOC4812206,Hm_H3K9me2,0.682058
LOC4812206,Tm_H4K16AC,2.99023
LOC4812206,Hm_H4K16AC,1.40693
LOC4814030,Hm_H4K16AC,1.3791
LOC4814030,Tm_H4K16AC,2.00789
LOC4814030,Hm_H3K9me2,0.886092
LOC4814030,Tm_H4K20me3,0.744693
LOC4814030,Hm_H4K20me3,0.563922
LOC4814030,Tm_H3K9me2,0.837854
LOC4814024,Hm_H4K16AC,3.35502
LOC4814024,Hm_H3K9me2,1.15393
LOC4814024,Tm_H3K9me2,0.711085
LOC4814024,Tm_H4K16AC,1.78403
LOC4814024,Hm_H4K20me3,1.05978
LOC4814024,Tm_H4K20me3,1.18374
LOC6901160,Hm_H3K9me2,0.865298
LOC6901160,Tm_H4K16AC,2.71881
LOC6901160,Tm_H3K9me2,0.823177
LOC6901160,Tm_H4K20me3,0.754002
LOC6901160,Hm_H4K16AC,4.5654
LOC6901160,Hm_H4K20me3,0.658417
LOC4804381,Tm_H3K9me2,1.13033
LOC4804381,Hm_H4K20me3,0.859126
LOC4804381,Tm_H4K20me3,1.13085
LOC4804381,Hm_H3K9me2,1.04056
LOC4804381,Tm_H4K16AC,1.07256
LOC4804381,Hm_H4K16AC,1.6738
LOC4817658,Tm_H3K9me2,1.35078
LOC4817658,Tm_H4K16AC,0.949445
LOC4817658,Hm_H4K20me3,1.95436
LOC4817658,Hm_H3K9me2,1.67721
LOC4817658,Tm_H4K20me3,1.7954
LOC4817658,Hm_H4K16AC,4.18694
LOC4812725,Hm_H4K20me3,1.45739
LOC4812725,Hm_H3K9me2,1.25845
LOC4812725,Tm_H3K9me2,1.31622
LOC4812725,Hm_H4K16AC,4.74967
LOC4812725,Tm_H4K20me3,2.72565
LOC4812725,Tm_H4K16AC,2.27063
LOC4814683,Tm_H3K9me2,1.86805
LOC4814683,Tm_H4K16AC,1.82197
LOC4814683,Hm_H3K9me2,1.22676
LOC4814683,Hm_H4K16AC,5.76214
LOC4814683,Hm_H4K20me3,1.24035
LOC4814683,Tm_H4K20me3,2.55764
LOC6896754,Tm_H4K16AC,1.42096
LOC6896754,Hm_H4K20me3,0.918756
LOC6896754,Hm_H4K16AC,1.57863
LOC6896754,Tm_H4K20me3,0.79619
LOC6896754,Hm_H3K9me2,1.03515
LOC6896754,Tm_H3K9me2,0.755222
LOC6896752,Tm_H3K9me2,0.996869
LOC6896752,Hm_H4K20me3,1.43926
LOC6896752,Hm_H3K9me2,1.31327
LOC6896752,Tm_H4K20me3,1.30383
LOC6896752,Tm_H4K16AC,1.21226
LOC6896752,Hm_H4K16AC,1.85699
LOC117183186,Tm_H4K16AC,0.911747
LOC117183186,Tm_H3K9me2,1.20287
LOC117183186,Hm_H3K9me2,1.08745
LOC117183186,Hm_H4K16AC,0.351237
LOC117183186,Hm_H4K20me3,1.0473
LOC117183186,Tm_H4K20me3,0.704502
LOC4817993,Hm_H4K20me3,1.52719
LOC4817993,Tm_H4K16AC,2.19992
LOC4817993,Tm_H3K9me2,0.00268783
LOC4817993,Tm_H4K20me3,0.00353487
LOC4817993,Hm_H3K9me2,11.8738
LOC4817993,Hm_H4K16AC,0.0248318
LOC4802576,Tm_H4K20me3,1.06801
LOC4802576,Tm_H3K9me2,0.528538
LOC4802576,Hm_H4K20me3,1.03803
LOC4802576,Tm_H4K16AC,1.35651
LOC4802576,Hm_H3K9me2,0.924375
LOC4802576,Hm_H4K16AC,0.768003
LOC6897407,Hm_H4K16AC,1.19176
LOC6897407,Hm_H3K9me2,0.652523
LOC6897407,Tm_H3K9me2,0.56744
LOC6897407,Hm_H4K20me3,1.02206
LOC6897407,Tm_H4K16AC,1.31995
LOC6897407,Tm_H4K20me3,0.606215
LOC4814688,Hm_H4K16AC,3.2125
LOC4814688,Tm_H4K16AC,2.86911
LOC4814688,Hm_H3K9me2,0.869377
LOC4814688,Tm_H4K20me3,1.15331
LOC4814688,Hm_H4K20me3,0.957745
LOC4814688,Tm_H3K9me2,1.1402
LOC4816279,Hm_H4K20me3,1.22473
LOC4816279,Tm_H3K9me2,1.39309
LOC4816279,Tm_H4K20me3,1.56933
LOC4816279,Hm_H3K9me2,1.14788
LOC4816279,Tm_H4K16AC,0.915497
LOC4816279,Hm_H4K16AC,2.30023
LOC4804689,Hm_H4K20me3,1.20657
LOC4804689,Hm_H3K9me2,1.02999
LOC4804689,Tm_H4K20me3,1.26467
LOC4804689,Tm_H4K16AC,0.867471
LOC4804689,Tm_H3K9me2,0.762979
LOC4804689,Hm_H4K16AC,0.815223
LOC4803214,Hm_H4K16AC,1.0213
LOC4803214,Tm_H4K16AC,0.892074
LOC4803214,Hm_H3K9me2,1.41493
LOC4803214,Tm_H4K20me3,0.884466
LOC4803214,Tm_H3K9me2,0.982942
LOC4803214,Hm_H4K20me3,1.5476
LOC4814543,Hm_H3K9me2,0.943637
