Gene,M_carcass_FPKM,M_testis_FPKM,Testis2carcass
LOC4812061,43.74709448,3.227121239,0.073767691
LOC4801654,0.726359508,0.155169473,0.213627354
LOC4803908,2.262074467,4.744237318,2.097294448
LOC6898556,5.51274926,3.332379985,0.604486115
LOC4817507,1033.12052,74.71081736,0.072315685
LOC4803905,7.761730916,3.158567288,0.406941173
LOC4817553,2.593882439,3.040357829,1.172126235
LOC4802205,0.03595727,0.088387954,2.458098076
LOC4813130,3.340068712,0.078283884,0.023438099
LOC4813124,119.9271491,5.680585336,0.047366975
LOC6900444,9.210231841,0.573908477,0.062312157
LOC4804709,0.04145615,0,2.41E-05
LOC4811784,75.29317896,92.92891862,1.234227584
LOC4804418,1.322156393,1722.695704,1302.942989
LOC117185001,0,29.82022507,29820226.07
LOC6901249,0,35.26168687,35261687.87
LOC6901805,16.08123725,32.11473112,1.997031051
LOC4815862,20.0616691,8.639760722,0.430660143
LOC6900472,12.28894259,0.511862998,0.0416524
LOC4813498,1.412302951,0.008073604,0.005717327
LOC4813247,8.09529015,2.950844719,0.364513847
LOC4805164,3.773225714,2.05164213,0.543737041
LOC4814416,18.19460372,2.19237374,0.120495871
LOC4816969,8.779379093,7.961881365,0.906884345
LOC4813630,0.018021648,0,5.55E-05
LOC4817994,0.715716878,0.109825291,0.153449137
LOC4814904,2.027463253,0.960360272,0.473676057
LOC4804788,3.06462181,0.007068842,0.002306921
LOC4801871,10.48289084,0.208340881,0.019874466
LOC4805158,20.84313646,4.059031308,0.194741906
LOC6901250,9.365991271,6.403535218,0.68370078
LOC4804717,14.42703467,0,6.93E-08
LOC4816044,8.834336092,0.384087079,0.043476729
LOC4817047,48.54834137,8.506018396,0.175207205
LOC4800602,22.12584029,1.013053807,0.045786047
LOC4814518,1.023824439,0.379184532,0.370361506
LOC4815790,6.043062237,6.719694249,1.111968382
LOC4815832,0.028336867,0.855439377,30.18718312
LOC4815194,0,1.132217616,1132218.616
LOC4817219,0.329105198,1.733774479,5.268133783
LOC4816276,0.946082381,1.358954712,1.436401631
LOC4804851,1.621948164,3.616371956,2.229646302
LOC4817792,0.804359891,1.310135253,1.628791589
LOC4802256,0,0.298611805,298612.805
LOC4813256,4.732929744,2.045779937,0.432244004
LOC4814263,4.350118777,1.978857404,0.454897452
LOC6901690,4.27313184,0.483477716,0.113143853
LOC4817938,4.56158204,11.79215615,2.585101936
LOC4813725,1.42570137,0.602284419,0.422448213
LOC4817764,0.273768515,41.26584308,150.7320643
LOC6903998,0.031021233,3.768569719,121.4796716
LOC4814676,12.42482223,4.256037684,0.342543198
LOC6903333,236.4218545,6.921123641,0.029274471
LOC6901039,166.6064765,37.32819454,0.224050086
LOC4811785,2614.410869,35.15463805,0.013446486
LOC4801742,348.4809976,6.431638822,0.018456214
LOC4813035,4.881460996,26.15633082,5.358298772
LOC4814006,14.49616446,6.943721631,0.479004096
LOC117184417,34.67124328,11.05706648,0.318911758
LOC4813342,17.38024984,3.492116314,0.200924448
LOC4802941,23.53980074,0.020092757,0.000853608
LOC6902376,21.7055149,0.208844693,0.00962178
LOC4812954,0.139725674,18.41703253,131.8075708
LOC4805339,19.35269129,1.546226028,0.079897257
LOC4803526,38.74092455,75.67137155,1.953267029
LOC6898959,114.0603471,60.68701526,0.532060591
LOC4817530,241.1406149,199.1991279,0.826070416
LOC4805512,8.02645877,7.034430188,0.876405213
LOC4813718,0.66861837,4.058266678,6.069623254
LOC6903541,25.4847531,9.10213722,0.357160135
LOC4801588,1.133399328,0.02363317,0.020852447
LOC4802203,18.74400857,43.07728569,2.298189538
LOC117183175,228.8624892,7.389599087,0.032288385
LOC4814594,506.8591184,5.936775275,0.011712873
LOC4804615,1.427910135,2.348528489,1.644730846
LOC4804616,5.293160527,0.075879653,0.014335601
LOC4800808,0.765919626,0.120463518,0.157280681
LOC4800811,43.00170515,98.53344517,2.291384575
LOC4800814,3.975919054,3.543348417,0.89120238
LOC4816094,0,0.584577221,584578.221
LOC4812723,43.72506074,2.298574919,0.052568843
LOC4800881,3.308268561,3.775075044,1.141102916
LOC4817870,0.205843008,0.033960318,0.164985701
LOC4817641,0.020219939,17.25490037,853.3184894
LOC4813754,9.616675736,4.896673241,0.509185696
LOC4803003,1.970311651,1.615993768,0.820171747
LOC4817505,6.647642959,3.990693079,0.60031706
LOC4815359,135.4878233,8.737514254,0.064489302
LOC4803365,204.005838,2.938847178,0.014405706
LOC4815430,21.94635662,3.474977324,0.158339638
LOC4800745,30.78287252,28.88006511,0.938186167
LOC117183994,0,0,1
LOC4817456,11.1458444,3.104116871,0.278499994
LOC4814693,3.298992524,1.35067323,0.409420091
LOC4812210,298.6670647,67.68354288,0.226618706
LOC4805483,101.3418646,154.0753835,1.520352754
LOC4804149,20.38496421,20.76326808,1.018557985
LOC4814177,282.8935314,2.282028087,0.008066742
LOC117184970,1.724621293,9.241322795,5.358462448
LOC4814180,4.138694624,18.00670527,4.350816756
LOC4814183,26.45569004,12.70002485,0.480048918
LOC6904089,0.265977709,0.706625123,2.656701825
LOC117184969,1.544952274,1.345554496,0.870936046
LOC4814158,0.863942589,1.132885669,1.311297037
LOC4814181,6.266192177,1.007893777,0.160846426
LOC6900999,9.668559344,486.4592982,50.31351948
LOC4814184,5.70051489,2.377566537,0.417079363
LOC4813013,282.0107532,406.2731011,1.44062982
LOC4801015,15.20093143,0.866090763,0.056976226
LOC4813975,29.01338149,27.62529866,0.952157153
LOC4813939,302.3819632,58.36065848,0.19300311
LOC4815765,23.38114518,0.83622308,0.035764888
LOC4813940,0.093460491,0.036593945,0.391551051
