Gene,M_carcass_FPKM,M_testis_FPKM,Testis2carcass
LOC4814831,32.15335418,0.603932607,0.018782911
LOC4804562,147.0607501,125.8166815,0.855542227
LOC4805043,341.139958,133.6935886,0.391902461
LOC4812413,242.8020697,5.087624453,0.020953798
LOC4815945,9.248966945,2.701481126,0.292084711
LOC4804439,1.823767795,5.32105846,2.917617339
LOC4811678,1.557444461,116.6926352,74.92566459
LOC6900247,0.433138552,0.035953581,0.083009231
LOC4803477,1.114352331,0.530257873,0.475844473
LOC4801599,17.52896262,1.918496241,0.109447272
LOC4804496,0.192256747,1.749486197,9.099696752
LOC4815917,20.11392879,20.4773452,1.018067897
LOC4802892,1.085644624,0.067325853,0.062015497
LOC6897112,3.587027711,0.1782147,0.049683377
LOC6903594,0.060090173,33.70783156,560.944829
LOC4812761,1.184912909,27.23480573,22.98462911
LOC4801814,2.163685823,0.423934579,0.195932043
LOC4805724,0.215217553,0.982326117,4.564323577
LOC4801310,18.0154329,0.239874659,0.013315009
LOC4815759,14.78912929,29.93561252,2.024163215
LOC6902611,54.68210674,26.43073566,0.483352558
LOC4817789,10.98236431,0.430438579,0.039193704
LOC4812715,243.9995888,1.057674617,0.004334743
LOC6902155,12.99941223,10.78905594,0.829964918
LOC6899006,3.891236105,0.290421718,0.074635061
LOC6899331,6.408386883,4.913108045,0.766668487
LOC4801367,29.66423769,6.271242001,0.211407515
LOC4803487,0.499706867,0.199998322,0.400232486
LOC6898412,10.56419334,1.042089336,0.098643617
LOC4817678,0.562281177,98.66048087,175.4643591
LOC4814491,6.934329073,2.157992428,0.311204313
LOC4815444,26.25218824,3.065853862,0.116784731
LOC4802534,35.69109452,16.83896802,0.471797483
LOC4812641,18.5291524,3.932075847,0.212210281
LOC4816101,17.14596788,2.742937849,0.159975728
LOC4815503,7.971776029,2.311222748,0.289925789
LOC4814684,18.22037772,35.27496951,1.936017415
LOC4802461,0.876695578,0.880674718,1.004538788
LOC4817909,335.7351057,98.76679895,0.294180734
LOC4801828,34.78154103,0.892318518,0.025654973
LOC4802902,3978.108588,0.502252406,0.000126254
LOC4803062,62.80703785,0,1.59E-08
LOC6900151,93.19397482,4.822931771,0.051751551
LOC4804609,0.105679148,2.844520836,26.91633098
LOC4816677,0.81234821,0.055892422,0.068804673
LOC26533548,20.93041594,37.31871773,1.782989744
LOC4803296,8.671137591,2.030682421,0.234188786
LOC4800741,0.221698965,0.068060744,0.306999345
LOC4801121,0.508555071,6.334673598,12.45619698
LOC4817200,0.07106066,0,1.41E-05
LOC6899833,458.2950091,308.1820166,0.672453356
LOC4802479,12.81134619,25.11702344,1.960529526
LOC4815488,14.38631082,3.132082314,0.217712736
LOC4816875,1.370590765,1.859504517,1.356717269
LOC4801109,529.8744096,167.3050017,0.315744636
LOC6901282,1.322134294,0.217385261,0.164420587
LOC4813592,1.318086035,0.183671328,0.139347648
LOC4814137,1.921574069,1.165300272,0.606430262
LOC4815174,0.331666058,0,3.02E-06
LOC6901423,13.06721059,2.496930139,0.1910837
LOC4814932,4.016223981,18.32056457,4.561638269
LOC4801405,21.20778088,2.227004048,0.105008862
LOC4817591,5.79300317,5.763494603,0.994906172
LOC4802798,0.151862997,16.15930889,106.4064574
LOC4803635,15.21055156,10.29883165,0.677084715
LOC4802881,0.040891471,0.67819672,16.5849045
LOC4815800,19.17617644,10.42745619,0.543771417
LOC4805186,1.558550051,0.053955666,0.034619762
LOC4800666,15.06349445,9.91814337,0.658422503
LOC6897820,14.54958253,4.592372362,0.31563607
LOC4802255,1.706737345,0.006545538,0.003835701
LOC4811763,8.485643897,2.47377418,0.291524711
LOC4816368,3.73424331,51.24479173,13.72293521
LOC117183506,5.122776509,4.688652706,0.915256167
LOC4800280,7.210728952,0.253462151,0.035150831
LOC4814692,32.91970145,1.859481561,0.0564854
LOC4800722,0.170317457,234.4296028,1376.419258
LOC6902166,38.4539969,17.73986718,0.461327018
LOC6900754,0.588537408,0,1.70E-06
